-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,29,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,4,3,3,8,-1,-1,-1,-1
-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,23,32,-1,-1,-1,-1,-1,53,-1,-1,-1,6,1,1,7,-1,-1,-1,-1,-1,4,8,-1,-1,-1,-1,-1,-1,9,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,-1,-1,-1,-1,-1,3,3,8,-1,33,-1,-1,-1,-1,25,-1,9,-1,10,10,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,8,-1,25,-1,-1,-1,-1,32,24,23,30,33,-1,-1,-1,-1,-1,-1,-1,11,-1,28,-1,4,8,-1,-1,-1,10,10,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,9,-1,-1,-1,-1
72,-1,-1,4,8,-1,-1,-1,6,1,1,1,7,-1,-1,-1,-1,-1,72,-1,26,-1,11,-1,-1,-1,-1,-1,-1,10,10,-1,-1,-1,-1,72,-1,-1,-1,9,-1,72,-1,-1,-1,72,-1,-1
24,29,-1,33,-1,-1,11,-1,-1,10,10,10,-1,-1,28,-1,-1,-1,24,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,10,10,-1,-1,-1,-1,24,32,11,29,23,25,24,28,30,-1,24,31,88
0,1,1,1,2,-1,-1,-1,-1,10,10,10,-1,-1,0,2,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
10,10,10,10,10,-1,-1,-1,-1,10,10,10,-1,-1,10,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,-1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
